timestamp,open,high,low,close,volume
2022-11-02,180.5500,180.5500,163.2000,163.2200,2035384
2022-11-01,189.8100,194.5000,180.5000,181.4500,1161887
2022-10-31,186.5100,189.6100,182.7550,183.0300,1130208
2022-10-28,184.9500,187.8100,177.6500,186.5900,2342725
2022-10-27,194.5900,199.6600,189.7601,190.3900,1102489
2022-10-26,183.3700,202.1600,183.2400,191.0500,2349966
2022-10-25,185.1800,200.9600,185.1800,200.6900,2291806
2022-10-24,188.9300,189.0300,176.6850,181.9100,2170312
2022-10-21,188.0700,188.9000,177.7000,188.9000,3136734
2022-10-20,186.0000,197.9697,184.0400,191.0000,1344224
2022-10-19,185.0500,189.6200,180.8100,184.7700,1582376
2022-10-18,195.0000,196.7800,185.5700,189.9700,1813482
2022-10-17,178.9800,186.8900,177.0801,182.3500,1352328
2022-10-14,186.1400,187.5800,171.2700,172.0800,1487169
2022-10-13,174.0200,182.7100,166.6100,180.7600,2131186
2022-10-12,180.7500,182.7200,172.4000,181.8000,1625128
2022-10-11,181.1000,184.8000,171.4300,180.0500,1763205
2022-10-10,191.1300,191.8900,178.8000,181.9700,1808834
2022-10-07,192.0600,194.3899,186.8600,189.7900,1344892
2022-10-06,202.0000,206.9300,195.2200,199.2000,1370562
2022-10-05,197.4500,205.0000,191.0100,202.0700,1613402
2022-10-04,201.4100,208.9900,200.4300,203.3100,3276255
2022-10-03,199.0100,200.9300,185.5100,194.0700,3301392
2022-09-30,196.4000,210.5000,194.4250,198.5600,2699122
2022-09-29,196.4500,199.0200,191.7780,194.8200,1266102
2022-09-28,193.9200,203.6800,192.1600,201.3100,1570928
2022-09-27,194.6100,197.9500,190.1600,194.4400,1323747
2022-09-26,194.2000,200.5000,188.1700,189.6900,1520068
2022-09-23,196.9000,201.3500,189.2350,194.7300,2891404
2022-09-22,206.7700,212.0000,196.8000,198.2000,2373714
2022-09-21,218.7200,222.3500,209.4500,209.4600,1484494
2022-09-20,216.9600,221.5500,213.9800,217.9000,1654905
2022-09-19,218.1800,222.3499,213.9200,221.3400,2096378
2022-09-16,228.4200,228.6200,217.5500,220.5800,3030486
2022-09-15,244.6900,249.1300,232.2200,233.5200,2990612
2022-09-14,251.4700,252.5900,243.0000,247.2200,2010412
2022-09-13,260.7600,263.7500,250.9600,251.9200,2382923
2022-09-12,269.0700,278.6700,266.0400,278.5100,2044657
2022-09-09,250.4800,273.9144,250.4800,268.6400,3029472
2022-09-08,241.4000,250.2400,239.7700,247.5100,1529976
2022-09-07,236.1700,248.6000,233.4000,246.7100,1925384
2022-09-06,241.0700,249.1250,236.8800,238.0000,1934561
2022-09-02,244.1700,254.3450,235.2000,244.8700,3322228
2022-09-01,266.9400,272.0000,238.4700,241.1100,8212017
2022-08-31,335.2200,339.8099,321.2100,322.8600,2028774
2022-08-30,336.3200,341.6960,321.7800,330.7200,1203884
2022-08-29,345.3000,354.0200,326.0100,332.0700,1932651
2022-08-26,362.0600,367.2900,351.5400,353.5700,1199134
2022-08-25,355.5400,365.5399,353.0700,363.7400,1431246
2022-08-24,325.4200,343.1800,325.4200,338.6000,880674
2022-08-23,333.2800,338.5200,326.1200,326.2600,588615
2022-08-22,328.4000,334.5000,323.9700,329.7600,816433
2022-08-19,343.9200,344.8700,333.8600,337.0700,1167194
2022-08-18,359.5900,361.2599,352.6700,353.5300,845240
2022-08-17,365.9000,368.0000,359.1800,361.6800,915972
2022-08-16,375.0800,375.0800,363.4200,374.4200,1338984
2022-08-15,375.1600,383.9199,370.9515,375.9200,629273
2022-08-12,372.7100,379.3900,365.8300,379.1000,751668
2022-08-11,387.5500,390.8400,367.6800,368.7600,846465
2022-08-10,376.0000,389.5000,375.9900,380.3100,1050762
2022-08-09,356.5600,365.0000,354.4617,358.1800,715555
2022-08-08,360.0000,378.9399,359.6300,363.7100,1155049
2022-08-05,336.1100,358.9900,330.0310,356.8400,1342162
2022-08-04,336.5200,341.1400,329.1100,340.8800,948274
2022-08-03,325.7900,340.5900,324.4500,339.3100,1182204
2022-08-02,310.0500,332.1500,308.0100,323.8000,964500
2022-08-01,308.0300,324.6600,302.0500,318.0200,950180
2022-07-29,304.9100,313.5400,300.1800,312.4700,1771743
2022-07-28,289.1500,297.3400,281.0900,297.0100,1159439
2022-07-27,279.4100,292.5400,275.6800,289.9200,1431118
2022-07-26,284.8400,285.9800,263.4000,266.7000,1622349
2022-07-25,298.2100,298.9800,283.9497,289.4300,1445729
2022-07-22,318.0000,323.0000,299.8600,301.6100,1321470
2022-07-21,309.1600,320.9000,306.7275,317.9300,1337349
2022-07-20,290.0950,310.9900,289.0001,307.5700,1569117
2022-07-19,286.5100,287.4800,272.5950,284.3200,1065111
2022-07-18,285.5000,293.5000,279.6600,281.1700,1260453
2022-07-15,281.0000,285.9549,265.7600,277.4700,1661380
2022-07-14,288.5900,290.8300,269.4800,278.9100,2152721
2022-07-13,287.6300,306.7000,282.1000,295.2600,1149616
2022-07-12,310.8600,323.0200,285.6600,291.2400,1875831
2022-07-11,309.6200,315.3600,300.3600,310.8600,963226
2022-07-08,306.1000,323.8900,302.1200,314.1600,1435442
2022-07-07,302.0500,318.7700,301.0301,315.4800,1854416
2022-07-06,301.8100,312.1000,296.9900,304.3000,1532109
2022-07-05,263.0300,304.8200,261.2881,304.4300,3389682
2022-07-01,263.7200,272.2300,256.5500,269.0100,1491208
2022-06-30,274.0000,275.0300,251.9350,259.5000,1777152
2022-06-29,274.8800,281.2740,268.4701,276.7700,928326
2022-06-28,296.5800,301.3900,273.3600,278.3500,1774640
2022-06-27,304.0500,308.1500,293.4500,298.8900,1008000
2022-06-24,295.0200,313.6687,295.0200,303.0900,2519605
2022-06-23,271.4200,292.2500,269.6900,290.6100,1649376
2022-06-22,264.1700,279.9100,262.5000,267.2300,1069868
2022-06-21,255.1700,276.0000,255.1500,269.5500,1880627
2022-06-17,237.6400,252.1600,235.9600,249.7500,1789572
2022-06-16,243.1000,247.0500,231.3400,235.0100,1270252
2022-06-15,243.0100,259.4450,240.8300,254.3200,1537746
2022-06-14,240.0100,250.2000,234.7894,241.0000,1155203
2022-06-13,254.0800,260.9200,237.5200,239.0000,2037485
