timestamp,open,high,low,close,volume
2022-11-02,3.6900,3.6999,3.6000,3.6700,7480
2022-11-01,3.7600,3.7999,3.6200,3.6900,5912
2022-10-31,3.7900,3.7900,3.6500,3.6900,8733
2022-10-28,3.9100,3.9763,3.6900,3.7299,21011
2022-10-27,3.9500,3.9900,3.8800,3.9900,4824
2022-10-26,3.7300,4.1666,3.7300,3.8600,13903
2022-10-25,3.6600,3.7842,3.6100,3.6700,9292
2022-10-24,3.6800,3.7001,3.6001,3.6200,9687
2022-10-21,3.6300,3.7100,3.5800,3.6500,15305
2022-10-20,3.5000,3.6999,3.5000,3.5700,32639
2022-10-19,3.5101,3.6499,3.5000,3.5000,13912
2022-10-18,3.6000,3.7200,3.5900,3.6000,9717
2022-10-17,3.6450,3.7400,3.6000,3.6000,14422
2022-10-14,3.5801,3.6200,3.5100,3.5200,13162
2022-10-13,3.5600,3.7400,3.5094,3.5600,14693
2022-10-12,3.6500,3.7000,3.5600,3.5890,20318
2022-10-11,3.8200,3.8500,3.6800,3.7000,11640
2022-10-10,3.9300,3.9877,3.7000,3.7593,10466
2022-10-07,4.0300,4.0300,3.8400,3.8500,13779
2022-10-06,4.0000,4.0500,3.8601,3.9900,24102
2022-10-05,4.0700,4.1200,3.9139,4.0000,17597
2022-10-04,4.2000,4.3000,4.0600,4.0600,23110
2022-10-03,3.8600,4.1999,3.8337,4.0500,24790
2022-09-30,3.8000,3.8400,3.6663,3.7500,18225
2022-09-29,3.8500,3.8900,3.6701,3.7300,6906
2022-09-28,3.6000,3.9099,3.5902,3.8000,21485
2022-09-27,3.7800,3.7800,3.5700,3.5950,14098
2022-09-26,3.6000,4.0210,3.5000,3.7000,96039
2022-09-23,4.0200,4.0200,3.6000,3.6200,29750
2022-09-22,3.9801,4.0500,3.8600,3.8900,8237
2022-09-21,4.2693,4.2693,4.0300,4.1700,13634
2022-09-20,4.3600,4.4300,4.0900,4.2000,9321
2022-09-19,3.9300,4.5000,3.6900,4.5000,48642
2022-09-16,3.7100,3.8497,3.6900,3.8300,22104
2022-09-15,3.8500,3.8701,3.7100,3.7700,10622
2022-09-14,3.8800,4.1900,3.8500,3.8500,28849
2022-09-13,4.0000,4.0000,3.7600,3.8300,10194
2022-09-12,4.1000,4.1350,3.9300,3.9300,9729
2022-09-09,3.9854,4.0900,3.9500,4.0900,14009
2022-09-08,3.8000,3.9600,3.7800,3.9200,10665
2022-09-07,3.6900,3.8575,3.6900,3.8100,12985
2022-09-06,3.6000,3.8000,3.6000,3.7800,11856
2022-09-02,3.5685,3.7600,3.5601,3.6100,19192
2022-09-01,3.6100,3.6800,3.5500,3.5500,12789
2022-08-31,3.7025,3.7200,3.6100,3.6100,7572
2022-08-30,3.7000,3.8699,3.6900,3.6900,11328
2022-08-29,3.8300,3.9000,3.7200,3.7200,33252
2022-08-26,3.9000,4.2000,3.7240,3.7600,41397
2022-08-25,3.9153,3.9451,3.8600,3.8900,13352
2022-08-24,3.9000,3.9900,3.9000,3.9391,12105
2022-08-23,3.9500,4.0000,3.8800,3.9000,10869
2022-08-22,4.1600,4.1600,3.8520,3.8600,11483
2022-08-19,4.0300,4.0300,3.8000,3.8300,23673
2022-08-18,4.0400,4.0800,4.0200,4.0200,14267
2022-08-17,4.3800,4.3800,3.9000,4.0400,39203
2022-08-16,4.2900,4.5000,4.2400,4.2800,18133
2022-08-15,4.5100,4.5200,4.2500,4.3400,15305
